template_id,template,dof,first_failing_filter_or_status
269,"(1,1) + (1,1) + (1,2) + (3,1) + (3b,2) + (6,1)",57,F4_SU3_cubic
270,"(1,1) + (1,1) + (1,2) + (3,1) + (3b,2) + (6b,1)",57,F4_SU3_cubic
271,"(1,1) + (1,1) + (1,2) + (3,1) + (6,2)",57,F1_SU3_AF
272,"(1,1) + (1,1) + (1,2) + (3,1) + (6b,2)",57,F1_SU3_AF
273,"(1,1) + (1,1) + (1,2) + (3,2) + (3b,1) + (3b,1) + (3b,1)",57,F4_SU3_cubic
274,"(1,1) + (1,1) + (1,2) + (3,2) + (3b,1) + (6,1)",57,F4_SU3_cubic
275,"(1,1) + (1,1) + (1,2) + (3,2) + (3b,1) + (6b,1)",57,F4_SU3_cubic
276,"(1,1) + (1,1) + (1,2) + (3b,1) + (3b,1) + (3b,1) + (3b,2)",57,F4_SU3_cubic
277,"(1,1) + (1,1) + (1,2) + (3b,1) + (3b,2) + (6,1)",57,F4_SU3_cubic
278,"(1,1) + (1,1) + (1,2) + (3b,1) + (3b,2) + (6b,1)",57,F4_SU3_cubic
279,"(1,1) + (1,1) + (1,2) + (3b,1) + (6,2)",57,F1_SU3_AF
280,"(1,1) + (1,1) + (1,2) + (3b,1) + (6b,2)",57,F1_SU3_AF
281,"(1,1) + (1,1) + (3,1) + (3,2) + (8,1)",57,F4_SU3_cubic
282,"(1,1) + (1,1) + (3,1) + (3b,2) + (8,1)",57,F4_SU3_cubic
283,"(1,1) + (1,1) + (3,2) + (3b,1) + (8,1)",57,F4_SU3_cubic
284,"(1,1) + (1,1) + (3b,1) + (3b,2) + (8,1)",57,F4_SU3_cubic
285,"(1,1) + (1,2) + (8,2)",57,F1_SU3_AF
286,"(1,1) + (3,1) + (3,1) + (3,2) + (6,1)",57,F4_SU3_cubic
287,"(1,1) + (3,1) + (3,1) + (3,2) + (6b,1)",57,F4_SU3_cubic
288,"(1,1) + (3,1) + (3,1) + (3b,2) + (6,1)",57,F4_SU3_cubic
289,"(1,1) + (3,1) + (3,1) + (3b,2) + (6b,1)",57,F4_SU3_cubic
290,"(1,1) + (3,1) + (3,1) + (6,2)",57,F1_SU3_AF
291,"(1,1) + (3,1) + (3,1) + (6b,2)",57,F1_SU3_AF
